413,  COF3CzD,0.915,0.597
414,  COF3PzD,1.249,0.401
415,  COF4C3D,1.204,0.549
416,  COF4C4D,0.426,0.650
417,  COF4P3D,1.623,0.362
418,  COF4P4D,1.086,0.363
419,  COF4O1D,1.533,0.162
420,  COF4O2D,1.598,0.162
421,  COF4F7D,1.189,0.389
422,  COF4F8D,0.302,0.539
423,  COF4T3D,0.788,0.180
424,  COF4T4D,0.250,0.327
425,  COF4T5D,1.390,0.170
426,  COF4T6D,1.080,0.175
427,  COF4FzD,1.647,0.910
428,  COF4CzD,1.197,0.619
429,  COF4PzD,1.243,0.375
430,  COC3C4D,1.900,0.738
431,  COC3P3D,2.602,0.860
432,  COC3P4D,2.204,0.687
433,  COC3O1D,1.501,0.472
434,  COC3O2D,1.670,0.412
435,  COC3F7D,0.527,0.325
436,  COC3F8D,0.903,0.167
437,  COC3T3D,0.408,0.470
438,  COC3T4D,1.105,0.275
439,  COC3T5D,1.452,0.573
440,  COC3T6D,1.455,0.371
441,  COC3FzD,0.815,0.597
442,  COC3CzD,1.407,0.821
443,  COC3PzD,2.543,0.794
444,  COC4P3D,2.054,0.666
445,  COC4P4D,1.733,0.797
446,  COC4O1D,1.490,0.366
447,  COC4O2D,1.392,0.363
448,  COC4F7D,1.072,0.205
449,  COC4F8D,0.659,0.344
450,  COC4T3D,0.910,0.220
451,  COC4T4D,0.439,0.490
452,  COC4T5D,1.507,0.358
453,  COC4T6D,1.214,0.497
454,  COC4FzD,1.029,0.604
455,  COC4CzD,1.506,0.807
456,  COC4PzD,1.678,0.720
457,  COP3P4D,1.744,0.793
458,  COP3O1D,0.837,0.697
459,  COP3O2D,1.253,0.575
460,  COP3F7D,1.119,0.198
461,  COP3F8D,1.242,0.110
462,  COP3T3D,1.159,0.442
463,  COP3T4D,1.416,0.294
464,  COP3T5D,1.035,0.750
465,  COP3T6D,1.462,0.517
466,  COP3FzD,1.238,0.395
467,  COP3CzD,1.814,0.693
468,  COP3PzD,1.307,0.913
469,  COP4O1D,1.189,0.579
470,  COP4O2D,0.469,0.619
471,  COP4F7D,1.241,0.109
472,  COP4F8D,1.033,0.153
473,  COP4T3D,1.166,0.236
474,  COP4T4D,1.137,0.449
475,  COP4T5D,1.431,0.502
476,  COP4T6D,0.992,0.724
477,  COP4FzD,1.350,0.380
478,  COP4CzD,1.934,0.685
479,  COP4PzD,1.303,0.888
480,  COO1O2D,1.502,0.807
481,  COO1F7D,0.731,0.056
482,  COO1F8D,0.081,0.027
483,  COO1T3D,1.356,0.248
484,  COO1T4D,1.902,0.196
485,  COO1T5D,1.178,0.747
486,  COO1T6D,1.498,0.543
487,  COO1FzD,1.734,0.201
488,  COO1CzD,1.465,0.376
489,  COO1PzD,1.328,0.679
490,  COO2F7D,0.465,0.041
491,  COO2F8D,0.192,0.024
492,  COO2T3D,1.452,0.154
493,  COO2T4D,1.505,0.219
494,  COO2T5D,1.170,0.480
495,  COO2T6D,0.312,0.654
496,  COO2FzD,1.943,0.209
497,  COO2CzD,1.614,0.394
498,  COO2PzD,1.371,0.650
499,  COF7F8D,1.209,0.302
500,  COF7T3D,0.204,0.405
501,  COF7T4D,0.879,0.068
502,  COF7T5D,0.985,0.104
503,  COF7T6D,-0.105,0.024
504,  COF7FzD,0.583,0.395
505,  COF7CzD,0.770,0.232
506,  COF7PzD,1.190,0.136
507,  COF8T3D,0.703,0.053
508,  COF8T4D,0.076,0.378
509,  COF8T5D,-0.257,0.017
510,  COF8T6D,0.718,0.061
511,  COF8FzD,0.648,0.373
512,  COF8CzD,0.839,0.206
513,  COF8PzD,1.216,0.122
514,  COT3T4D,1.103,0.130
515,  COT3T5D,1.122,0.524
516,  COT3T6D,1.223,0.128
517,  COT3FzD,0.322,0.206
